id,bookings_checked_in,bookings_no_showed,bookings_canceled,average_lead_time,days_since_creation,distribution_channel,persons_nights,room_nights
1,3,0,1,45,150,Corporate,8,5
2,1,0,0,61,1095,Travel Agent/Operator,10,5
4,1,0,0,93,1095,Travel Agent/Operator,10,5
6,1,0,0,58,1095,Travel Agent/Operator,4,2
8,1,0,0,38,1095,Travel Agent/Operator,10,5
10,1,0,0,96,1095,Travel Agent/Operator,6,3
12,1,0,0,60,1095,Travel Agent/Operator,10,5
14,1,0,0,87,1095,Direct,8,4
16,1,0,0,11,1095,Travel Agent/Operator,6,3
17,1,0,0,11,1095,Travel Agent/Operator,3,3
19,1,0,0,109,1095,Travel Agent/Operator,8,4
21,1,0,0,63,1095,Travel Agent/Operator,4,2
22,1,0,0,2,1095,Direct,8,4
24,1,0,0,95,1095,Travel Agent/Operator,6,3
26,1,0,0,7,1095,Travel Agent/Operator,3,3
27,1,0,0,94,1095,Travel Agent/Operator,10,5
29,1,0,0,7,1095,Travel Agent/Operator,3,3
30,1,0,0,7,1095,Travel Agent/Operator,3,3
31,9,0,0,1,1095,Direct,18,14
32,1,0,0,85,1095,Direct,6,3
34,1,0,0,78,1095,Direct,6,3
37,1,0,0,13,1095,Travel Agent/Operator,8,4
39,1,0,0,0,1095,Direct,1,1
40,1,0,0,0,1095,Direct,1,1
41,1,0,0,87,1095,Travel Agent/Operator,6,3
43,1,0,0,67,1095,Travel Agent/Operator,10,5
45,1,0,0,87,1095,Travel Agent/Operator,6,3
47,1,0,0,65,1095,Travel Agent/Operator,4,2
49,1,0,0,80,1095,Travel Agent/Operator,2,1
50,1,0,0,61,1095,Travel Agent/Operator,8,4
52,1,0,0,98,1095,Travel Agent/Operator,3,3
53,1,0,0,97,1095,Travel Agent/Operator,4,2
55,1,0,0,98,1095,Travel Agent/Operator,3,3
56,1,0,0,97,1095,Travel Agent/Operator,8,4
57,1,0,0,98,1095,Travel Agent/Operator,6,3
59,2,0,0,0,1095,Direct,2,2
60,1,0,0,1,1095,Direct,2,1
61,1,0,0,98,1095,Travel Agent/Operator,6,3
63,1,0,0,97,1095,Travel Agent/Operator,3,3
64,1,0,0,57,1095,Travel Agent/Operator,14,7
66,1,0,0,6,1095,Travel Agent/Operator,3,1
67,1,0,0,96,1095,Travel Agent/Operator,15,5
70,1,0,0,58,1095,Direct,8,4
72,1,0,0,72,1094,Direct,12,6
74,1,0,0,72,1094,Direct,12,6
76,1,0,0,70,1094,Direct,12,4
77,1,0,0,70,1094,Direct,8,4
78,1,0,0,70,1094,Direct,8,4
79,1,0,0,70,1094,Direct,8,4
80,1,0,0,97,1094,Travel Agent/Operator,8,4
82,1,0,0,103,1094,Direct,8,4
84,1,0,0,103,1094,Direct,12,4
87,1,0,0,103,1094,Direct,12,4
90,1,0,0,103,1094,Direct,8,4
92,1,0,0,49,1094,Travel Agent/Operator,10,5
94,1,0,0,58,1094,Travel Agent/Operator,10,5
96,1,0,0,49,1094,Travel Agent/Operator,10,5
98,1,0,0,58,1094,Travel Agent/Operator,10,5
100,1,0,0,86,1094,Travel Agent/Operator,6,3
101,1,0,0,86,1094,Travel Agent/Operator,6,3
102,1,0,0,97,1094,Travel Agent/Operator,8,4
103,1,0,0,0,1094,Direct,6,3
105,1,0,0,72,1094,Travel Agent/Operator,6,3
107,1,0,0,41,1094,Direct,6,3
108,1,0,0,41,1094,Direct,6,3
110,1,0,0,41,1094,Direct,3,3
112,1,0,0,69,1094,Travel Agent/Operator,4,2
114,1,0,0,89,1094,Travel Agent/Operator,6,3
115,1,0,0,59,1094,Direct,10,5
117,1,0,0,1,1094,Travel Agent/Operator,16,4
122,1,0,0,69,1094,Direct,6,3
123,1,0,0,2,1094,Direct,9,3
126,1,0,0,69,1094,Direct,6,3
127,1,0,0,1,1094,Direct,8,2
131,1,0,0,93,1094,Travel Agent/Operator,6,3
133,1,0,0,57,1094,Direct,6,3
135,1,0,0,0,1094,Direct,4,1
136,1,0,0,93,1094,Travel Agent/Operator,6,3
138,1,0,0,97,1094,Travel Agent/Operator,8,4
139,1,0,0,95,1094,Travel Agent/Operator,8,4
141,1,0,0,58,1094,Travel Agent/Operator,12,6
143,1,0,0,97,1094,Travel Agent/Operator,8,4
145,1,0,0,99,1094,Travel Agent/Operator,6,3
147,1,0,0,43,1094,Direct,2,1
149,1,0,0,52,1094,Travel Agent/Operator,8,2
