id,nationality,age,days_since_first_stay,days_since_last_stay,market_segment,segment
1,PRT,51,1074,151,Corporate,Frequent Guests
2,PRT,NULL,1100,1100,Travel Agent/Operator,Occasional Guests
4,FRA,60,1100,1100,Travel Agent/Operator,Occasional Guests
6,JPN,54,1097,1097,Other,Occasional Guests
8,FRA,32,1100,1100,Other,Seasonal Spenders
10,IRL,25,1098,1098,Travel Agent/Operator,Occasional Guests
12,FRA,58,1100,1100,Travel Agent/Operator,Occasional Guests
14,ESP,42,1099,1099,Direct,Occasional Guests
16,FRA,68,1098,1098,Travel Agent/Operator,Occasional Guests
17,FRA,72,1098,1098,Travel Agent/Operator,Occasional Guests
19,FRA,24,1099,1099,Travel Agent/Operator,Occasional Guests
21,PRT,NULL,1097,1097,Other,Occasional Guests
22,BEL,50,1099,1099,Direct,Occasional Guests
24,FRA,32,1098,1098,Travel Agent/Operator,Occasional Guests
26,AUT,64,1098,1098,Travel Agent/Operator,Occasional Guests
27,FRA,64,1100,1100,Travel Agent/Operator,Occasional Guests
29,AUT,47,1098,1098,Travel Agent/Operator,Occasional Guests
30,AUT,67,1098,1098,Travel Agent/Operator,Occasional Guests
31,PRT,39,1117,591,Corporate,Other
32,PRT,71,1098,1098,Direct,Occasional Guests
34,PRT,43,1098,1098,Direct,Occasional Guests
37,DEU,30,1099,1099,Travel Agent/Operator,Occasional Guests
39,PRT,NULL,1096,1096,Complementary,Low Spend Guests
40,PRT,NULL,1096,1096,Complementary,Low Spend Guests
41,ITA,52,1098,1098,Other,Seasonal Spenders
43,FRA,53,1100,1100,Other,Seasonal Spenders
45,ITA,48,1098,1098,Other,Occasional Guests
47,CHN,25,1097,1097,Other,Occasional Guests
49,RUS,43,1096,1096,Other,Occasional Guests
50,POL,53,1099,1099,Other,Occasional Guests
52,ITA,36,1098,1098,Travel Agent/Operator,Occasional Guests
53,ITA,30,1097,1097,Travel Agent/Operator,Occasional Guests
55,PRT,38,1098,1098,Travel Agent/Operator,Occasional Guests
56,PRT,NULL,1099,1099,Travel Agent/Operator,Occasional Guests
57,ITA,40,1098,1098,Travel Agent/Operator,Occasional Guests
59,PRT,NULL,1096,697,Complementary,Low Spend Guests
60,PRT,NULL,1096,1096,Direct,Occasional Guests
61,ITA,39,1098,1098,Travel Agent/Operator,Occasional Guests
63,ITA,32,1098,1098,Travel Agent/Operator,Occasional Guests
64,USA,65,1102,1102,Travel Agent/Operator,Seasonal Spenders
66,PRT,NULL,1096,1096,Travel Agent/Operator,Occasional Guests
67,FRA,50,1100,1100,Travel Agent/Operator,Seasonal Spenders
70,PRT,NULL,1099,1099,Direct,Occasional Guests
72,FRA,69,1100,1100,Direct,Seasonal Spenders
74,FRA,49,1100,1100,Direct,Seasonal Spenders
76,FRA,70,1098,1098,Direct,Seasonal Spenders
77,FRA,34,1098,1098,Direct,Seasonal Spenders
78,FRA,28,1098,1098,Direct,Seasonal Spenders
79,FRA,66,1098,1098,Direct,Seasonal Spenders
80,FRA,72,1098,1098,Travel Agent/Operator,Occasional Guests
82,ESP,3,1098,1098,Direct,Seasonal Spenders
84,PRT,28,1098,1098,Direct,Seasonal Spenders
87,ESP,39,1098,1098,Direct,Seasonal Spenders
90,ESP,42,1098,1098,Direct,Seasonal Spenders
92,ESP,68,1099,1099,Travel Agent/Operator,Seasonal Spenders
94,ESP,60,1099,1099,Other,Seasonal Spenders
96,ESP,71,1099,1099,Travel Agent/Operator,Seasonal Spenders
98,ESP,62,1099,1099,Other,Seasonal Spenders
100,CRI,61,1097,1097,Other,Occasional Guests
101,PRT,NULL,1097,1097,Other,Occasional Guests
102,FRA,61,1098,1098,Travel Agent/Operator,Occasional Guests
103,ITA,67,1097,1097,Direct,Occasional Guests
105,BEL,59,1097,1097,Other,Occasional Guests
107,ESP,63,1097,1097,Direct,Occasional Guests
108,FRA,45,1097,1097,Direct,Occasional Guests
110,ESP,66,1097,1097,Direct,Occasional Guests
112,ESP,56,1096,1096,Other,Occasional Guests
114,PRT,NULL,1097,1097,Travel Agent/Operator,Occasional Guests
115,ESP,37,1099,1099,Direct,Occasional Guests
117,FRA,43,1098,1098,Groups,Seasonal Spenders
122,ESP,40,1097,1097,Direct,Occasional Guests
123,PRT,41,1097,1097,Direct,Seasonal Spenders
126,ESP,45,1097,1097,Direct,Occasional Guests
127,PRT,44,1096,1096,Direct,Seasonal Spenders
131,FRA,51,1097,1097,Travel Agent/Operator,Occasional Guests
133,ESP,43,1097,1097,Direct,Occasional Guests
135,PRT,45,1095,1095,Direct,Occasional Guests
136,CHE,60,1097,1097,Travel Agent/Operator,Occasional Guests
