id,lodging_revenue,other_revenue,total_revenue
1,371.0,105.3,476.3
2,280.0,53.0,333.0
4,240.0,60.0,300.0
6,230.0,24.0,254.0
8,535.0,94.0,629.0
10,174.0,69.0,243.0
12,292.0,81.0,373.0
14,327.7,48.0,375.7
16,437.0,36.0,473.0
17,455.0,18.0,473.0
19,174.0,36.0,210.0
21,224.0,156.0,380.0
22,348.12,66.0,414.12
24,144.0,93.0,237.0
26,177.0,21.5,198.5
27,240.0,104.5,344.5
29,177.0,20.5,197.5
30,177.0,18.0,195.0
31,1083.5,255.49,1338.99
32,180.6,54.0,234.6
34,180.6,100.5,281.1
37,210.0,73.0,283.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,563.1,90.0,653.1
43,455.7,86.5,542.2
45,251.1,40.5,291.6
47,202.8,24.0,226.8
49,101.4,21.0,122.4
50,370.0,62.5,432.5
52,142.8,35.3,178.10000000000002
53,116.0,27.0,143.0
55,142.8,15.3,158.10000000000002
56,213.52,11.5,225.02
57,147.9,47.6,195.5
59,0.0,2.0,2.0
60,123.0,12.0,135.0
61,147.9,30.6,178.5
63,168.0,18.0,186.0
64,423.31,91.5,514.81
66,141.5,13.5,155.0
67,300.0,284.97,584.97
70,294.0,77.7,371.7
72,515.34,292.5,807.84
74,515.34,301.5,816.84
76,321.52,623.1,944.62
77,875.16,1189.2,2064.36
78,875.16,1201.7,2076.86
79,291.72,749.9,1041.62
80,192.0,50.0,242.0
82,653.4,759.6,1413.0
84,770.1,957.9,1728.0
87,256.7,322.3,579.0
90,653.4,759.6,1413.0
92,406.05,381.5,787.55
94,485.0,101.0,586.0
96,406.05,361.5,767.55
98,485.0,134.5,619.5
100,207.59,57.0,264.59000000000003
101,207.59,105.9,313.49
102,192.0,67.5,259.5
103,331.0,44.0,375.0
105,324.0,38.0,362.0
107,318.99,65.0,383.99
108,318.99,43.0,361.99
110,336.99,21.5,358.49
112,195.6,44.0,239.6
114,201.46,48.5,249.96
115,325.05,107.0,432.05
117,508.0,346.5,854.5
122,242.55,38.0,280.55
123,404.5,473.3,877.8
126,242.55,48.0,290.55
127,376.0,224.0,600.0
131,144.0,40.5,184.5
133,274.5,47.0,321.5
135,165.0,24.0,189.0
136,276.58,113.5,390.08
138,192.0,50.0,242.0
139,192.0,50.0,242.0
141,397.2,74.0,471.2
143,192.0,54.5,246.5
145,144.0,52.5,196.5
147,279.0,42.0,321.0
149,358.0,62.0,420.0
154,243.35,65.0,308.35
155,249.1,173.5,422.6
157,207.59,52.0,259.59000000000003
158,192.0,50.0,242.0
159,659.34,491.0,1150.3400000000001
162,466.91,118.3,585.21
165,192.0,104.0,296.0
167,464.0,290.0,754.0
169,410.0,86.0,496.0
171,276.0,64.0,340.0
174,232.0,234.5,466.5
175,232.0,53.5,285.5
177,391.2,58.5,449.7
178,232.0,59.5,291.5
180,232.0,57.0,289.0
182,114.0,28.0,142.0
184,391.2,52.0,443.2
186,391.2,56.5,447.7
188,192.0,52.0,244.0
190,232.0,95.5,327.5
191,232.0,57.0,289.0
193,174.0,242.0,416.0
195,168.0,67.0,235.0
196,151.2,29.0,180.2
200,168.0,20.0,188.0
201,232.0,52.0,284.0
202,240.0,62.5,302.5
203,177.0,20.0,197.0
204,232.0,52.0,284.0
206,427.05,64.0,491.05
208,192.0,55.0,247.0
210,308.4,37.5,345.9
212,95.0,2.0,97.0
214,687.65,196.5,884.15
217,232.0,54.5,286.5
218,174.0,43.0,217.0
220,138.0,211.0,349.0
222,289.8,40.0,329.8
223,58.0,14.0,72.0
224,174.0,40.0,214.0
227,93.0,50.0,143.0
228,174.0,251.0,425.0
230,174.0,188.5,362.5
231,174.0,42.5,216.5
232,232.0,187.0,419.0
234,174.0,180.0,354.0
235,174.0,243.5,417.5
237,174.0,277.0,451.0
239,174.0,40.0,214.0
241,174.0,183.0,357.0
242,40.0,12.0,52.0
244,174.0,180.0,354.0
245,464.0,724.8,1188.8
247,174.0,187.0,361.0
249,174.0,180.0,354.0
251,174.0,247.0,421.0
252,509.62,440.5,950.12
254,464.0,648.0,1112.0
256,88.0,37.0,125.0
258,174.0,63.5,237.5
259,174.0,328.0,502.0
261,238.0,67.0,305.0
263,138.0,453.2,591.2
265,324.0,298.0,622.0
266,219.0,48.0,267.0
267,0.0,4.0,4.0
268,138.0,71.98,209.98000000000002
270,192.0,54.0,246.0
272,73.0,23.5,96.5
273,613.7,25.0,638.7
275,522.75,76.0,598.75
277,291.5,104.5,396.0
279,522.75,46.0,568.75
281,182.4,111.6,294.0
283,182.4,115.1,297.5
284,138.0,42.0,180.0
286,182.4,116.6,299.0
287,182.4,111.6,294.0
289,182.4,111.6,294.0
290,0.0,5.5,5.5
292,182.4,111.6,294.0
294,182.4,111.6,294.0
296,182.4,111.6,294.0
298,182.4,111.6,294.0
300,182.4,111.6,294.0
302,308.5,56.0,364.5
303,925.5,186.0,1111.5
304,412.58,141.0,553.5799999999999
307,0.0,15.0,15.0
308,159.0,156.5,315.5
310,159.0,150.0,309.0
312,162.0,75.0,237.0
313,162.0,75.0,237.0
314,162.0,77.5,239.5
315,159.0,150.0,309.0
317,159.0,150.0,309.0
319,159.0,150.0,309.0
321,162.0,75.0,237.0
322,159.0,150.0,309.0
323,0.0,3.0,3.0
324,159.0,162.0,321.0
326,159.0,150.0,309.0
327,159.0,160.0,319.0
328,277.17,114.83,392.0
330,159.0,150.0,309.0
332,381.6,73.4,455.0
333,250.6,140.4,391.0
335,300.24,256.36,556.6
338,159.0,150.0,309.0
340,182.4,111.6,294.0
342,182.4,111.6,294.0
343,182.4,111.6,294.0
344,138.0,69.0,207.0
346,182.4,114.1,296.5
347,182.4,111.6,294.0
349,182.4,111.6,294.0
351,182.4,111.6,294.0
353,555.0,154.5,709.5
355,555.0,98.0,653.0
357,182.4,111.6,294.0
359,182.4,111.6,294.0
361,166.2,55.8,222.0
363,182.4,111.6,294.0
365,983.46,296.1,1279.56
368,627.3,8.0,635.3
369,204.0,42.0,246.0
371,159.0,272.0,431.0
373,138.0,42.0,180.0
375,59.0,6.0,65.0
376,68.0,14.0,82.0
378,162.0,103.5,265.5
379,1086.0,162.0,1248.0
380,64.8,3.0,67.8
381,116.0,73.0,189.0
383,140.0,286.5,426.5
385,44.0,14.0,58.0
386,173.52,42.0,215.52
387,230.0,118.0,348.0
389,294.87,70.0,364.87
391,523.8,82.0,605.8
393,240.0,269.5,509.5
395,140.0,57.0,197.0
397,210.0,114.0,324.0
399,73.0,14.0,87.0
400,73.0,23.0,96.0
401,315.0,80.5,395.5
403,219.0,52.5,271.5
404,332.0,188.5,520.5
406,219.0,33.0,252.0
407,211.0,26.0,237.0
409,55.49,14.0,69.49000000000001
410,73.0,51.1,124.1
411,290.0,102.0,392.0
412,168.0,17.0,185.0
413,386.0,30.5,416.5
414,124.0,46.0,170.0
415,224.0,56.0,280.0
417,75.0,2.0,77.0
419,138.0,75.0,213.0
421,64.32,79.0,143.32
423,78.0,14.0,92.0
424,39.0,7.0,46.0
425,75.0,12.5,87.5
426,116.0,32.5,148.5
427,192.0,396.5,588.5
429,0.0,8.0,8.0
430,445.5,72.0,517.5
431,240.0,101.0,341.0
433,290.0,72.0,362.0
435,124.5,346.5,471.0
439,130.5,36.0,166.5
440,123.6,74.4,198.0
442,123.6,74.4,198.0
444,123.6,74.4,198.0
446,328.8,328.7,657.5
448,75.0,26.0,101.0
449,220.0,104.0,324.0
451,0.0,150.5,150.5
453,52.02,4.5,56.52
455,59.0,7.0,66.0
456,59.0,18.0,77.0
457,138.0,42.0,180.0
459,174.0,42.0,216.0
460,230.0,176.5,406.5
463,345.0,142.2,487.2
464,232.8,164.6,397.4
466,184.0,62.5,246.5
468,165.0,55.8,220.8
469,238.75,167.0,405.75
471,73.0,7.0,80.0
472,44.0,8.0,52.0
473,79.0,3.5,82.5
475,137.4,42.0,179.4
477,224.0,155.0,379.0
478,432.4,275.8,708.2
480,188.64,85.5,274.14
482,335.0,75.0,410.0
483,174.0,144.0,318.0
486,207.0,21.0,228.0
487,204.0,42.0,246.0
489,58.0,7.0,65.0
490,392.7,120.0,512.7
493,73.0,16.0,89.0
494,230.0,146.6,376.6
496,134.0,28.0,162.0
498,1479.45,576.0,2055.45
500,65.7,11.0,76.7
502,65.7,13.0,78.7
503,59.0,7.0,66.0
504,59.0,9.0,68.0
505,59.0,9.0,68.0
506,59.0,9.0,68.0
507,59.0,9.0,68.0
508,64.0,3.5,67.5
509,52.0,17.0,69.0
